Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),CUBO:Zone Mean Air Temperature [C](TimeStep) 
 05/15  07:03:00,27.3,23.641111378288084 
 05/15  07:04:00,27.4,23.646060505073613 
 05/15  07:05:00,27.5,23.65131365047536 
 05/15  07:06:00,27.6,23.656870117688943 
 05/15  07:07:00,27.7,23.66272901366401 
 05/15  07:08:00,27.8,23.668941613523412 
 05/15  07:09:00,27.8,23.675439205733085 
 05/15  07:10:00,27.9,23.682270008847397 
 05/15  07:11:00,28.0,23.689428051050914 
 05/15  07:12:00,28.1,23.696899525574064 
 05/15  07:13:00,28.2,23.704676917863235 
 05/15  07:14:00,28.3,23.71275786540789 
 05/15  07:15:00,28.4,23.721141881394306 
 05/15  07:16:00,28.5,23.729828603952843 
 05/15  07:17:00,28.6,23.73881737606142 
 05/15  07:18:00,28.7,23.74810736118343 
 05/15  07:19:00,28.7,23.757697734692115 
 05/15  07:20:00,28.8,23.76758780814338 
 05/15  07:21:00,28.9,23.777777068784975 
 05/15  07:22:00,29.0,23.788265122904647 
 05/15  07:23:00,29.1,23.799051558419627 
 05/15  07:24:00,29.2,23.810135801061303 
 05/15  07:25:00,29.3,23.821517041421895 
 05/15  07:26:00,29.4,23.833229481983146 
 05/15  07:27:00,29.5,23.845298820780798 
 05/15  07:28:00,29.5,23.857707587760867 
 05/15  07:29:00,29.6,23.870453923001907 
 05/15  07:30:00,29.7,23.883534250173053 
 05/15  07:31:00,29.8,23.896955016343785 
 05/15  07:32:00,29.9,23.910705224482665 
 05/15  07:33:00,30.0,23.92478701193537 
 05/15  07:34:00,30.1,23.939188499898467 
 05/15  07:35:00,30.2,23.953912616953016 
 05/15  07:36:00,30.3,23.968959329479265 
 05/15  07:37:00,30.3,23.98432552178551 
 05/15  07:38:00,30.4,24.000017401447288 
 05/15  07:39:00,30.5,24.01602510219649 
 05/15  07:40:00,30.6,24.032350924872453 
 05/15  07:41:00,30.7,24.04898444988324 
 05/15  07:42:00,30.8,24.065928838623254 
 05/15  07:43:00,30.9,24.083184747607763 
 05/15  07:44:00,31.0,24.10074955821753 
 05/15  07:45:00,31.1,24.118619413061516 
 05/15  07:46:00,31.1,24.13680068285527 
 05/15  07:47:00,31.2,24.15528416679564 
 05/15  07:48:00,31.3,24.174072522268087 
 05/15  07:49:00,31.4,24.1931660647972 
 05/15  07:50:00,31.5,24.212562158340738 
 05/15  07:51:00,31.6,24.232257068460928 
 05/15  07:52:00,31.7,24.252247099912104 
 05/15  07:53:00,31.7,24.272528937208932 
 05/15  07:54:00,31.8,24.2931096739409 
 05/15  07:55:00,31.9,24.31398064740934 
 05/15  07:56:00,32.0,24.33514468765375 
 05/15  07:57:00,32.1,24.35660200925617 
 05/15  07:58:00,32.2,24.37834966748277 
 05/15  07:59:00,32.3,24.40038356900615 
 05/15  08:00:00,32.3,24.422699742829032 
 05/15  08:01:00,32.4,24.445294752395114 
 05/15  08:02:00,32.5,24.468175689921235 
 05/15  08:03:00,32.5,24.49133388086132 
 05/15  08:04:00,32.6,24.514772170341576 
 05/15  08:05:00,32.7,24.53848070283775 
 05/15  08:06:00,32.7,24.562462713007577 
 05/15  08:07:00,32.8,24.586718796407293 
 05/15  08:08:00,32.8,24.61124592253673 
 05/15  08:09:00,32.9,24.63603948977964 
 05/15  08:10:00,33.0,24.66110462352505 
 05/15  08:11:00,33.0,24.686430209744287 
 05/15  08:12:00,33.1,24.712016521717402 
 05/15  08:13:00,33.2,24.73785099448217 
 05/15  08:14:00,33.2,24.763934207763967 
 05/15  08:15:00,33.3,24.790264187565906 
 05/15  08:16:00,33.3,24.816835607765835 
 05/15  08:17:00,33.4,24.84364198011545 
 05/15  08:18:00,33.5,24.870677027299106 
 05/15  08:19:00,33.5,24.897935035185526 
 05/15  08:20:00,33.6,24.925410755218795 
 05/15  08:21:00,33.7,24.953109263267212 
 05/15  08:22:00,33.7,24.981019329297833 
 05/15  08:23:00,33.8,25.00914146288152 
 05/15  08:24:00,33.8,25.037463501127036 
 05/15  08:25:00,33.9,25.065986930341364 
 05/15  08:26:00,34.0,25.094710853686152 
 05/15  08:27:00,34.0,25.12363112990036 
 05/15  08:28:00,34.1,25.152742503951774 
 05/15  08:29:00,34.1,25.18203994488993 
 05/15  08:30:00,34.2,25.211519018346596 
 05/15  08:31:00,34.2,25.241175820952623 
 05/15  08:32:00,34.3,25.27100681373325 
 05/15  08:33:00,34.4,25.30101865894152 
 05/15  08:34:00,34.4,25.33120143576165 
 05/15  08:35:00,34.5,25.36154689509692 
 05/15  08:36:00,34.5,25.392060609467954 
 05/15  08:37:00,34.6,25.422733271180867 
 05/15  08:38:00,34.7,25.453567765827227 
 05/15  08:39:00,34.7,25.484563859124275 
 05/15  08:40:00,34.8,25.515707946640735 
 05/15  08:41:00,34.8,25.54700226390724 
 05/15  08:42:00,34.9,25.57844766987732 
 05/15  08:43:00,34.9,25.610041943633785 
 05/15  08:44:00,35.0,25.641781638404392 
 05/15  08:45:00,35.1,25.67366337150071 
 05/15  08:46:00,35.1,25.705684175396616 
 05/15  08:47:00,35.2,25.737841424332576 
 05/15  08:48:00,35.2,25.77013272524342 
 05/15  08:49:00,35.3,25.802565879020488 
 05/15  08:50:00,35.3,25.835132013707806 
 05/15  08:51:00,35.4,25.86782419552978 
 05/15  08:52:00,35.4,25.900649443614494 
 05/15  08:53:00,35.5,25.933599743836364 
 05/15  08:54:00,35.5,25.966679193856255 
 05/15  08:55:00,35.6,25.99987853521013 
 05/15  08:56:00,35.7,26.033201861667685 
 05/15  08:57:00,35.7,26.06665020159999 
 05/15  08:58:00,35.8,26.100210968034357 
 05/15  08:59:00,35.8,26.13388731575939 
 05/15  09:00:00,35.9,26.167680771986692 
 05/15  09:01:00,35.9,26.201589682974028 
 05/15  09:02:00,35.9,26.235611189580013 
 05/15  09:03:00,36.0,26.2697425633417 
 05/15  09:04:00,36.0,26.303981545435757 
 05/15  09:05:00,36.0,26.338326192208406 
 05/15  09:06:00,36.1,26.372774623040243 
 05/15  09:07:00,36.1,26.40732483204961 
 05/15  09:08:00,36.1,26.44197457260966 
 05/15  09:09:00,36.2,26.476721304756758 
 05/15  09:10:00,36.2,26.511562195004416 
 05/15  09:11:00,36.2,26.546494137412385 
 05/15  09:12:00,36.3,26.581523830987393 
 05/15  09:13:00,36.3,26.6166407112251 
 05/15  09:14:00,36.3,26.651836001908457 
 05/15  09:15:00,36.4,26.68711478430183 
 05/15  09:16:00,36.4,26.722466847240756 
 05/15  09:17:00,36.4,26.757884186994303 
 05/15  09:18:00,36.5,26.79337257712486 
 05/15  09:19:00,36.5,26.828922267946275 
 05/15  09:20:00,36.5,26.86453572057567 
 05/15  09:21:00,36.6,26.900201955517748 
 05/15  09:22:00,36.6,26.935923649804433 
 05/15  09:23:00,36.6,26.971690465053666 
 05/15  09:24:00,36.6,27.007505707512333 
 05/15  09:25:00,36.7,27.043359515284628 
 05/15  09:26:00,36.7,27.07925559548876 
 05/15  09:27:00,36.7,27.11519438149459 
 05/15  09:28:00,36.8,27.151162518072073 
 05/15  09:29:00,36.8,27.187162514373902 
 05/15  09:30:00,36.8,27.22319500423161 
 05/15  09:31:00,36.8,27.259247223909306 
 05/15  09:32:00,36.9,27.29532229537694 
